enormously,tremendously,appropriately,wrong
provisions,stipulations,interpretations,wrong
haphazardly,randomly,densely,wrong
prominent,conspicuous,battered,wrong
zenith,pinnacle,completion,wrong
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,arrest,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,permit,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,postponed,wrong
constantly,continually,instantly,wrong
issues,subjects,training,wrong
furnish,supply,protect,wrong
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,climate,wrong
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,farming,wrong
debate,argument,competition,wrong
narrow,thin,freezing,wrong
arranged,planned,planned,correct
infinite,limitless,structural,wrong
showy,striking,prickly,wrong
levied,imposed,correlated,wrong
deftly,skillfully,skillfully,correct
distribute,circulate,acknowledge,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,alienated,wrong
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,muscular,wrong
highlight,accentuate,accentuate,correct
hastily,hurriedly,habitually,wrong
temperate,mild,cold,wrong
grin,smile,exercise,wrong
verbally,orally,orally,correct
physician,doctor,nurse,wrong
essentially,basically,eagerly,wrong
keen,sharp,famous,wrong
situated,positioned,emptying,wrong
principal,major,exceptional,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,jobs,correct
unlikely,improbable,improbable,correct
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,trails,wrong
wildly,furiously,mysteriously,wrong
hailed,acclaimed,remembered,wrong
command,mastery,love,wrong
concocted,devised,supervised,wrong
prospective,potential,particular,wrong
generally,broadly,controversially,wrong
sustained,prolonged,lowered,wrong
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,isolate,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,misunderstood,wrong
resolved,settled,forgotten,wrong
feasible,possible,possible,correct
expeditiously,rapidly,actually,wrong
percentage,proportion,profit,wrong
terminated,ended,posed,wrong
uniform,alike,sharp,wrong
figure,solve,list,wrong
sufficient,enough,physiological,wrong
fashion,manner,fathom,wrong
marketed,sold,frozen,wrong
bigger,larger,steadier,wrong
roots,origins,rituals,wrong
normally,ordinarily,permanently,wrong
